observation_id,type,text,source,year,prompt
energy-no-electricity,scale,"Approximately 47% to 53% of the population in Sub-Saharan Africa lives without electricity","https://unctad.org/publication/commodities-glance-special-issue-access-energy-sub-saharan-africa",2023,Find the number of people without electricity access in ONE specific country or region"
energy-no-electricity,scale,"Approximately 22% of the people in DRC Africa have access to electricity","https://unctad.org/publication/commodities-glance-special-issue-access-energy-sub-saharan-africa",2023,Find
energy-no-electricity,relationship,"Electrification rate across the Sub-Saharan region has roughly doubled since 2000","https://ourworldindata.org/data-insights/the-global-number-of-people-without-electricity-has-halved-since-2000-but-it-has-increased-in-sub-saharan-africa",April 2026,Historical trend — how has access changed over 20-50 years? What drove change? Which regions improved most/least?
energy-no-electricity,relationship,"In sub-Saharan Africa, 80% of the Urban population has electricity, but over 60% of the rural population doesn't","https://unctad.org/publication/commodities-glance-special-issue-access-energy-sub-saharan-africa",,Inequality or gender gap — who is disproportionately affected? Women children rural populations low-income groups?
